request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_96,74296.06,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,none,"Use 3 installments of INR 31,269.33, starting 10 January 2026. This leaves at least INR 56,500 available."
request_97,1564.82,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8,145.28, starting 19 March 2024. This leaves at least ZAR 29,700 available."
request_98,6487.77,not_affordable,not_recommended,none,2025-10-16,none,"Do not make this payment by 15 October 2025. None of the available options keeps the ZAR 30,000 minimum protected."
request_99,17483.56,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,reduce_to:event_9232:1065.90,"reduce the dining spending to ZAR 1,065.90, then pay ZAR 18,062 today. This leaves at least ZAR 49,100 available."
request_100,27868.05,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-07-15,none,"Use 3 installments of ZAR 12,866.19, starting 13 June 2024. This leaves at least ZAR 32,500 available."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500 today. This leaves at least INR 187,400 available over the next 90 days."
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026. This leaves at least EUR 900 available."
request_103,12254.72,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 368,300 request. Although INR 12,254.72 is available today, the full amount cannot be completed safely within 90 days."
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Pay ZAR 17,204 today. This leaves at least ZAR 24,700 available over the next 90 days."
request_105,14190.92,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 53,500 request. Although INR 14,190.92 is available today, the full amount cannot be completed safely within 90 days."
request_106,459.01,affordable_later,wait,2025-02-13:2207.70,2025-02-13,none,"Pay EUR 2,207.70 in full on 13 February 2025. Paying earlier would take the balance below the EUR 1,200 minimum."
request_107,2431.8,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-05-15,none,"Use 3 installments of EUR 878.59, starting 8 May 2025. This leaves at least EUR 1,600 available."
request_108,1808.31,not_affordable,not_recommended,none,2026-08-26,none,"Do not make this payment by 26 July 2026. None of the available options keeps the ZAR 24,100 minimum protected."
request_109,580.68,not_affordable,not_recommended,none,2024-05-16,none,"Do not make this payment by 26 May 2024. None of the available options keeps the EUR 1,700 minimum protected."
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 6 August 2025. This leaves at least ZAR 11,200 available."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 23,022,800 available over the next 90 days."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 500 available over the next 90 days.
request_113,19583.87,affordable_later,wait,2026-10-16:36500,2026-10-16,none,"Pay INR 36,500 in full on 16 October 2026. Paying earlier would take the balance below the INR 82,300 minimum."
request_114,54639.51,not_affordable,not_recommended,none,2026-01-15,none,"Do not make this payment by 14 January 2026. None of the available options keeps the INR 113,400 minimum protected."
request_115,14921.45,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 80,500 request. Although INR 14,921.45 is available today, the full amount cannot be completed safely within 90 days."
request_116,1749.71,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 241,200 request. Although INR 1,749.71 is available today, the full amount cannot be completed safely within 90 days."
request_117,857.84,affordable_with_plan,full_payment,2026-07-05:880,2026-07-16,reduce_to:event_10878:20.50,"reduce the dining spending to EUR 20.50, then pay EUR 880 today. This leaves at least EUR 1,000 available."
request_118,598.36,not_affordable,not_recommended,none,2025-02-21,none,Do not make this payment by 8 February 2025. None of the available options keeps the EUR 600 minimum protected.
request_119,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 203,500 request. Although INR 0 is available today, the full amount cannot be completed safely within 90 days."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 today. This leaves at least IDR 20,050,300 available over the next 90 days."
request_121,520.22,affordable_with_plan,full_payment,2024-03-03:633.60,2024-05-16,reduce_to:event_11231:19.50|stop:event_11163|reduce_to:event_11164:9.50,"reduce the dining spending to USD 19.50 and Stop the delivery membership and reduce the gym membership to USD 9.50, then pay USD 633.60 today. This leaves at least USD 800 available."
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 5 August 2025. This leaves at least IDR 12,588,500 available."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000 today. This leaves at least IDR 18,091,200 available over the next 90 days."
request_124,1396.92,not_affordable,not_recommended,none,2024-08-16,none,"Do not make this payment by 20 August 2024. None of the available options keeps the EUR 1,600 minimum protected."
request_125,5630.81,not_affordable,not_recommended,none,2025-11-15,none,"Do not make this payment by 14 November 2025. None of the available options keeps the ZAR 11,300 minimum protected."
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600 today. This leaves at least INR 129,700 available over the next 90 days."
request_127,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 23,980 request. Although ZAR 0 is available today, the full amount cannot be completed safely within 90 days."
request_128,25168.0,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168 today. This leaves at least ZAR 42,600 available over the next 90 days."
request_129,118.07,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,668.80 request. Although USD 118.07 is available today, the full amount cannot be completed safely within 90 days."
request_130,367.53,affordable_later,wait,2025-01-16:1978.80,2025-01-16,none,"Pay USD 1,978.80 in full on 16 January 2025. Paying earlier would take the balance below the USD 1,400 minimum."
request_131,1130.16,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-06-16,none,"Use 3 installments of USD 643.14, starting 6 May 2025. This leaves at least USD 1,100 available."
request_132,257.16,affordable_later,wait,2026-02-15:379.86,2026-02-15,none,"Pay USD 379.86 in full on 15 February 2026. Paying earlier would take the balance below the USD 1,100 minimum."
request_133,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 15,770,000 request. Although IDR 0 is available today, the full amount cannot be completed safely within 90 days."
request_134,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 21,831,000 request. Although IDR 0 is available today, the full amount cannot be completed safely within 90 days."
request_135,282.34,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-16,reduce_to:event_12458:17.50|stop:event_12413,"reduce the dining spending to USD 17.50 and Stop the streaming subscription, then pay USD 304.80 today. This leaves at least USD 500 available."
request_136,537.14,affordable_with_plan,full_payment,2024-06-03:560.40,2024-06-15,reduce_to:event_12498:27.20,"reduce the discretionary shopping to USD 27.20, then pay USD 560.40 today. This leaves at least USD 1,100 available."
request_137,22332.72,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 80,100 request. Although INR 22,332.72 is available today, the full amount cannot be completed safely within 90 days."
request_138,998.3,affordable_with_plan,partial_payment,2026-04-07:998.30|2026-04-15:258.64,2026-04-15,none,"Pay EUR 998.30 today and the remaining EUR 258.64 on 15 April 2026. This completes the full request and keeps the EUR 2,300 minimum protected."
request_139,1335.99,not_affordable,not_recommended,none,2024-11-16,none,"Do not make this payment by 17 November 2024. None of the available options keeps the USD 1,500 minimum protected."
request_140,3092.22,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 62,832 request. Although ZAR 3,092.22 is available today, the full amount cannot be completed safely within 90 days."
request_141,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 171,600 request. Although INR 0 is available today, the full amount cannot be completed safely within 90 days."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 1,700 available over the next 90 days."
request_143,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 12,584 request. Although ZAR 0 is available today, the full amount cannot be completed safely within 90 days."
request_144,196.97,affordable_with_plan,full_payment,2026-07-04:233.34,2026-09-13,reduce_to:event_13306:17.50,"reduce the dining spending to USD 17.50, then pay USD 233.34 today. This leaves at least USD 600 available."
request_145,11688.58,not_affordable,not_recommended,none,2024-05-23,none,"Do not make this payment by 26 May 2024. None of the available options keeps the INR 155,400 minimum protected."
request_146,16528.56,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 449,400 request. Although INR 16,528.56 is available today, the full amount cannot be completed safely within 90 days."
request_147,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,129.70 request. Although EUR 0 is available today, the full amount cannot be completed safely within 90 days."
request_148,1741.82,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 22,242 request. Although ZAR 1,741.82 is available today, the full amount cannot be completed safely within 90 days."
request_149,24855.59,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-16,none,"Use 3 installments of ZAR 12,706.03, starting 18 November 2025. This leaves at least ZAR 42,100 available."
request_150,263.78,not_affordable,not_recommended,none,2026-03-18,none,Do not make this payment by 16 March 2026. None of the available options keeps the EUR 700 minimum protected.
request_151,26999000.0,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000 today. This leaves at least IDR 31,633,600 available over the next 90 days."
request_152,10638.25,not_affordable,not_recommended,none,2025-04-18,none,"Do not make this payment by 13 April 2025. None of the available options keeps the ZAR 11,900 minimum protected."
request_153,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,830.80 request. Although USD 0 is available today, the full amount cannot be completed safely within 90 days."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,none,"Use 3 installments of EUR 563.61, starting 4 December 2024. This leaves at least EUR 1,300 available."
request_155,35251.01,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 112,500 request. Although INR 35,251.01 is available today, the full amount cannot be completed safely within 90 days."
request_156,11164.91,not_affordable,not_recommended,none,2026-06-16,none,"Do not make this payment by 15 June 2026. None of the available options keeps the ZAR 26,900 minimum protected."
request_157,4724829.56,affordable_later,wait,2024-04-17:23503000,2024-04-17,none,"Pay IDR 23,503,000 in full on 17 April 2024. Paying earlier would take the balance below the IDR 15,714,100 minimum."
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 7 August 2025. This leaves at least INR 131,400 available."
request_159,13398.0,affordable_now,full_payment,2026-01-04:13398,2026-01-04,none,"Pay ZAR 13,398 today. This leaves at least ZAR 8,700 available over the next 90 days."
request_160,664.17,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 13 June 2024. This leaves at least EUR 1,200 available."
request_161,7821843.13,affordable_later,wait,2025-11-14:21204000,2025-11-14,none,"Pay IDR 21,204,000 in full on 14 November 2025. Paying earlier would take the balance below the IDR 23,010,400 minimum."
request_162,3197955.05,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 83,923,000 request. Although IDR 3,197,955.05 is available today, the full amount cannot be completed safely within 90 days."
request_163,9682381.23,not_affordable,not_recommended,none,2024-11-18,none,"Do not make this payment by 15 November 2024. None of the available options keeps the IDR 26,728,700 minimum protected."
request_164,27018000.0,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240, starting 11 February 2025. This leaves at least IDR 29,550,500 available."
request_165,63008.68,affordable_with_plan,full_payment,2026-04-06:80600,,stop:event_15135|reduce_to:event_15173:1875|reduce_to:event_15136:1048,"Stop the streaming subscription and reduce the dining spending to INR 1,875 and reduce the discretionary shopping to INR 1,048, then pay INR 80,600 today. This leaves at least INR 95,000 available."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 3 December 2024. This leaves at least USD 1,700 available."
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802 today. This leaves at least ZAR 31,200 available over the next 90 days."
request_168,30782.99,affordable_with_plan,partial_payment,2026-01-07:30782.99|2026-02-15:18597.01,2026-02-15,none,"Pay INR 30,782.99 today and the remaining INR 18,597.01 on 15 February 2026. This completes the full request and keeps the INR 114,400 minimum protected."
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 today. This leaves at least ZAR 18,700 available over the next 90 days."
request_170,15183114.1,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 36,936,000 request. Although IDR 15,183,114.10 is available today, the full amount cannot be completed safely within 90 days."
request_171,34.55,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,878.80 request. Although EUR 34.55 is available today, the full amount cannot be completed safely within 90 days."
request_172,9003.89,affordable_with_plan,partial_payment,2024-06-05:9003.89|2024-06-15:1196.11,2024-06-15,none,"Pay ZAR 9,003.89 today and the remaining ZAR 1,196.11 on 15 June 2024. This completes the full request and keeps the ZAR 27,200 minimum protected."
request_173,54481.88,not_affordable,not_recommended,none,2026-01-16,none,"Do not make this payment by 17 January 2026. None of the available options keeps the INR 79,100 minimum protected."
request_174,1146.2,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,2026-04-04,none,"Use 3 installments of EUR 397.35, starting 4 April 2026. This leaves at least EUR 700 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,700 available over the next 90 days."
request_176,408.9,not_affordable,not_recommended,none,2025-03-07,none,Do not make this payment by 27 February 2025. None of the available options keeps the EUR 600 minimum protected.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Pay USD 1,017.60 today. This leaves at least USD 1,300 available over the next 90 days."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1,018.54, starting 7 December 2024. This leaves at least EUR 1,400 available."
request_179,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 41,648,000 request. Although IDR 0 is available today, the full amount cannot be completed safely within 90 days."
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Pay INR 66,500 today. This leaves at least INR 37,300 available over the next 90 days."
request_181,507.61,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 5,059.20 request. Although USD 507.61 is available today, the full amount cannot be completed safely within 90 days."
request_182,65714.0,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714 today. This leaves at least ZAR 31,100 available over the next 90 days."
request_183,24393437.83,not_affordable,not_recommended,none,2026-06-16,none,"Do not make this payment by 18 June 2026. None of the available options keeps the IDR 11,878,300 minimum protected."
request_184,7415.18,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 251,900 request. Although INR 7,415.18 is available today, the full amount cannot be completed safely within 90 days."
request_185,325.14,not_affordable,not_recommended,none,2026-01-16,none,"Do not make this payment by 15 January 2026. None of the available options keeps the EUR 1,300 minimum protected."
request_186,3735.01,not_affordable,not_recommended,none,2026-03-18,none,"Do not make this payment by 15 March 2026. None of the available options keeps the ZAR 22,000 minimum protected."
request_187,37452.86,affordable_later,wait,2024-11-14:187500,2024-11-14,none,"Pay INR 187,500 in full on 14 November 2024. Paying earlier would take the balance below the INR 128,300 minimum."
request_188,0.0,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,464 request. Although EUR 0 is available today, the full amount cannot be completed safely within 90 days."
request_189,488.4,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.40 today. This leaves at least EUR 400 available over the next 90 days.
